Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),       albite,    anorthite,     sanidine
11,863.79,2.250,-11.990,23.6097,2.6315,57.0297,0.0000,27.2592,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1821,6.2161,0.3129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-390.424,-331.726,51.628,8.972,28.448,0.540721,0.441371,0.017908
12,863.79,2.250,-11.990,23.6090,2.6315,57.0296,0.0000,27.2593,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1821,6.2161,0.3129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-390.414,-331.717,51.627,8.972,28.448,0.540718,0.441375,0.017907
13,863.51,2.200,-12.000,23.5823,2.6314,57.0139,0.0000,27.2702,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1948,6.2097,0.3114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-390.006,-331.399,51.560,8.962,28.414,0.540180,0.441998,0.017822
14,863.52,2.200,-12.000,23.5817,2.6314,57.0138,0.0000,27.2703,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1949,6.2097,0.3114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-389.995,-331.390,51.559,8.962,28.414,0.540177,0.442001,0.017822
15,863.24,2.150,-12.010,23.5547,2.6313,56.9980,0.0000,27.2813,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2076,6.2032,0.3099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-389.582,-331.066,51.492,8.952,28.380,0.539635,0.442629,0.017736
16,863.25,2.150,-12.010,23.5541,2.6313,56.9979,0.0000,27.2813,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2077,6.2032,0.3099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-389.571,-331.057,51.491,8.951,28.379,0.539631,0.442633,0.017736
17,862.97,2.100,-12.020,23.5268,2.6313,56.9820,0.0000,27.2924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2205,6.1967,0.3084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-389.153,-330.730,51.423,8.941,28.345,0.539086,0.443264,0.017650
18,862.97,2.100,-12.020,23.5261,2.6313,56.9819,0.0000,27.2925,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2206,6.1967,0.3084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-389.142,-330.720,51.422,8.941,28.344,0.539082,0.443268,0.017650
19,862.69,2.050,-12.030,23.4985,2.6312,56.9658,0.0000,27.3036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2335,6.1902,0.3069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-388.718,-330.389,51.354,8.931,28.310,0.538532,0.443903,0.017564
20,862.70,2.050,-12.030,23.4978,2.6312,56.9657,0.0000,27.3037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2336,6.1901,0.3069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-388.707,-330.379,51.352,8.931,28.309,0.538529,0.443907,0.017564
21,862.42,2.000,-12.040,23.4700,2.6311,56.9496,0.0000,27.3149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2466,6.1836,0.3054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-388.279,-330.043,51.283,8.920,28.274,0.537975,0.444547,0.017478
22,862.42,2.000,-12.040,23.4692,2.6311,56.9495,0.0000,27.3149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2467,6.1835,0.3053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-388.267,-330.033,51.282,8.920,28.273,0.537971,0.444551,0.017478
23,862.14,1.950,-12.050,23.4411,2.6310,56.9333,0.0000,27.3262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2598,6.1769,0.3038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-387.833,-329.693,51.212,8.909,28.238,0.537413,0.445195,0.017392
24,862.14,1.950,-12.050,23.4404,2.6310,56.9332,0.0000,27.3263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2599,6.1768,0.3038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-387.822,-329.682,51.211,8.909,28.237,0.537409,0.445199,0.017392
25,861.86,1.900,-12.060,23.4119,2.6310,56.9169,0.0000,27.3376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2730,6.1702,0.3023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-387.383,-329.338,51.141,8.899,28.202,0.536847,0.445847,0.017306
26,861.87,1.900,-12.060,23.4111,2.6310,56.9167,0.0000,27.3377,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2731,6.1701,0.3023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-387.371,-329.327,51.139,8.898,28.201,0.536843,0.445851,0.017305
27,861.58,1.850,-12.071,23.3824,2.6309,56.9003,0.0000,27.3491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2864,6.1634,0.3008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-386.927,-328.979,51.068,8.888,28.165,0.536277,0.446503,0.017219
28,861.59,1.850,-12.070,23.3816,2.6309,56.9002,0.0000,27.3492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2865,6.1634,0.3008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-386.915,-328.968,51.067,8.887,28.164,0.536273,0.446508,0.017219
29,861.30,1.800,-12.081,23.3526,2.6308,56.8836,0.0000,27.3607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2998,6.1566,0.2993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-386.466,-328.615,50.995,8.876,28.128,0.535703,0.447164,0.017133
30,861.31,1.800,-12.081,23.3518,2.6308,56.8835,0.0000,27.3607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2999,6.1566,0.2993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-386.454,-328.604,50.993,8.876,28.127,0.535699,0.447169,0.017132
31,861.02,1.750,-12.091,23.3224,2.6308,56.8669,0.0000,27.3723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3133,6.1498,0.2977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-386.000,-328.247,50.921,8.865,28.091,0.535124,0.447830,0.017046
32,861.03,1.750,-12.091,23.3216,2.6308,56.8668,0.0000,27.3724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3134,6.1497,0.2977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-385.987,-328.235,50.920,8.865,28.090,0.535120,0.447834,0.017046
33,860.74,1.700,-12.101,23.2920,2.6307,56.8500,0.0000,27.3840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3269,6.1428,0.2962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-385.529,-327.874,50.847,8.854,28.053,0.534542,0.448499,0.016959
34,860.75,1.700,-12.101,23.2912,2.6307,56.8499,0.0000,27.3841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3270,6.1428,0.2962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-385.515,-327.862,50.845,8.854,28.052,0.534537,0.448504,0.016959
35,860.46,1.650,-12.111,23.2612,2.6306,56.8330,0.0000,27.3958,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3406,6.1359,0.2947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-385.052,-327.497,50.771,8.842,28.014,0.533954,0.449173,0.016872
36,860.46,1.650,-12.111,23.2604,2.6306,56.8329,0.0000,27.3959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3407,6.1358,0.2947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-385.038,-327.485,50.770,8.842,28.013,0.533950,0.449178,0.016872
37,860.18,1.600,-12.121,23.2301,2.6306,56.8159,0.0000,27.4077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3544,6.1289,0.2932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-384.569,-327.115,50.695,8.831,27.976,0.533363,0.449852,0.016785
38,860.18,1.600,-12.121,23.2293,2.6306,56.8158,0.0000,27.4078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3545,6.1288,0.2932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-384.555,-327.103,50.694,8.830,27.975,0.533358,0.449857,0.016785
39,860.07,1.550,-12.128,23.3040,2.6303,56.8206,0.0000,27.4045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3507,6.1312,0.2929,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-385.830,-328.200,50.856,8.860,28.065,0.533562,0.449669,0.016769
40,860.07,1.550,-12.128,23.3062,2.6303,56.8206,0.0000,27.4045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3507,6.1312,0.2929,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-385.867,-328.231,50.860,8.860,28.067,0.533562,0.449669,0.016769
41,860.07,1.550,-12.128,23.3053,2.6303,56.8205,0.0000,27.4046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3508,6.1312,0.2929,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-385.852,-328.218,50.859,8.860,28.066,0.533557,0.449674,0.016769
42,860.82,1.500,-12.119,23.9221,2.6292,56.9371,0.0000,27.3247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2576,6.1815,0.2991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-396.138,-336.898,52.241,9.099,28.816,0.537799,0.445081,0.017120
43,860.82,1.500,-12.119,23.9485,2.6292,56.9371,0.0000,27.3247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2576,6.1815,0.2991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-396.574,-337.269,52.298,9.109,28.848,0.537799,0.445081,0.017120
44,860.83,1.500,-12.119,23.9476,2.6292,56.9370,0.0000,27.3248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2577,6.1814,0.2991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-396.560,-337.257,52.297,9.108,28.847,0.537794,0.445086,0.017120
45,861.60,1.450,-12.109,24.5743,2.6281,57.0536,0.0000,27.2448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1645,6.2315,0.3055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-407.014,-346.075,53.703,9.351,29.609,0.542020,0.440496,0.017485
46,861.60,1.450,-12.109,24.6013,2.6281,57.0536,0.0000,27.2448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1645,6.2315,0.3055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-407.461,-346.455,53.762,9.361,29.642,0.542020,0.440496,0.017485
47,861.60,1.450,-12.109,24.6005,2.6281,57.0535,0.0000,27.2449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1646,6.2315,0.3055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-407.448,-346.443,53.760,9.361,29.641,0.542015,0.440500,0.017485
48,862.40,1.400,-12.099,25.2376,2.6269,57.1700,0.0000,27.1649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0715,6.2814,0.3122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-418.078,-355.405,55.192,9.607,30.416,0.546224,0.435913,0.017864
49,862.40,1.400,-12.099,25.2652,2.6269,57.1700,0.0000,27.1649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0715,6.2814,0.3122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-418.537,-355.795,55.252,9.618,30.449,0.546224,0.435913,0.017864
50,862.40,1.400,-12.099,25.2644,2.6269,57.1699,0.0000,27.1650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0716,6.2814,0.3122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-418.523,-355.783,55.251,9.617,30.448,0.546219,0.435917,0.017863
51,863.22,1.350,-12.088,25.9123,2.6258,57.2864,0.0000,27.0849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9783,6.3312,0.3192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-429.339,-364.897,56.708,9.868,31.237,0.550411,0.431331,0.018258
52,863.22,1.350,-12.088,25.9407,2.6258,57.2864,0.0000,27.0849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9783,6.3312,0.3192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-429.808,-365.296,56.770,9.879,31.271,0.550411,0.431331,0.018258
53,863.23,1.350,-12.088,25.9399,2.6258,57.2863,0.0000,27.0850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9784,6.3311,0.3192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-429.795,-365.284,56.769,9.879,31.270,0.550407,0.431336,0.018257
54,864.06,1.300,-12.077,26.5991,2.6247,57.4027,0.0000,27.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8852,6.3807,0.3265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-440.803,-374.556,58.254,10.134,32.073,0.554582,0.426751,0.018668
55,864.06,1.300,-12.077,26.6282,2.6247,57.4027,0.0000,27.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8852,6.3807,0.3265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-441.284,-374.965,58.318,10.145,32.108,0.554582,0.426751,0.018668
56,864.07,1.300,-12.077,26.6274,2.6247,57.4026,0.0000,27.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8853,6.3807,0.3264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-441.271,-374.953,58.316,10.145,32.107,0.554578,0.426755,0.018667
57,864.93,1.250,-12.066,27.2984,2.6235,57.5190,0.0000,26.9249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7920,6.4301,0.3340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-452.480,-384.389,59.830,10.405,32.925,0.558734,0.422171,0.019096
58,864.93,1.250,-12.066,27.3281,2.6235,57.5190,0.0000,26.9249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7920,6.4301,0.3340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-452.973,-384.808,59.895,10.417,32.960,0.558734,0.422171,0.019096
59,864.94,1.250,-12.066,27.3274,2.6235,57.5190,0.0000,26.9249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7921,6.4300,0.3340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-452.961,-384.797,59.893,10.416,32.960,0.558730,0.422174,0.019095
60,865.83,1.200,-12.054,28.0106,2.6224,57.6354,0.0000,26.8447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6988,6.4792,0.3419,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-464.377,-394.402,61.437,10.681,33.792,0.562866,0.417591,0.019542
61,865.83,1.200,-12.054,28.0410,2.6224,57.6354,0.0000,26.8447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6988,6.4792,0.3419,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-464.882,-394.831,61.504,10.693,33.829,0.562866,0.417591,0.019542
62,865.83,1.200,-12.054,28.0403,2.6224,57.6353,0.0000,26.8448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6988,6.4792,0.3419,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-464.870,-394.820,61.502,10.693,33.828,0.562863,0.417595,0.019542
63,866.74,1.150,-12.041,28.7361,2.6212,57.7516,0.0000,26.7646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6055,6.5281,0.3502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-476.500,-404.600,63.076,10.963,34.676,0.566977,0.413013,0.020009
64,866.74,1.150,-12.041,28.7673,2.6212,57.7516,0.0000,26.7646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6055,6.5281,0.3502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-477.018,-405.040,63.145,10.975,34.714,0.566977,0.413013,0.020009
65,866.75,1.150,-12.041,28.7666,2.6212,57.7515,0.0000,26.7646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6056,6.5281,0.3502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-477.007,-405.030,63.143,10.975,34.713,0.566974,0.413017,0.020009
66,867.69,1.100,-12.029,29.4753,2.6201,57.8678,0.0000,26.6844,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5122,6.5768,0.3588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-488.857,-414.989,64.749,11.250,35.577,0.571065,0.408438,0.020498
67,867.69,1.100,-12.029,29.5073,2.6201,57.8678,0.0000,26.6844,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5122,6.5768,0.3588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-489.387,-415.439,64.819,11.262,35.616,0.571065,0.408438,0.020498
68,867.69,1.100,-12.028,29.5066,2.6201,57.8677,0.0000,26.6844,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5123,6.5768,0.3588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-489.377,-415.430,64.818,11.262,35.615,0.571062,0.408441,0.020497
69,868.66,1.050,-12.015,30.2285,2.6189,57.9839,0.0000,26.6042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4190,6.6251,0.3679,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-501.452,-425.572,66.456,11.542,36.496,0.575125,0.403866,0.021010
70,868.66,1.050,-12.015,30.2612,2.6189,57.9839,0.0000,26.6042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4190,6.6251,0.3679,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-501.995,-426.033,66.528,11.555,36.535,0.575125,0.403866,0.021010
71,868.66,1.050,-12.015,30.2606,2.6189,57.9838,0.0000,26.6042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4190,6.6251,0.3678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-501.985,-426.025,66.526,11.555,36.535,0.575122,0.403869,0.021009
72,869.65,1.000,-12.001,30.9959,2.6177,58.0997,0.0000,26.5240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3258,6.6732,0.3773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-514.290,-436.354,68.197,11.841,37.432,0.579154,0.399300,0.021547
73,869.65,1.000,-12.001,31.0295,2.6177,58.0997,0.0000,26.5240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3258,6.6732,0.3773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-514.846,-436.826,68.271,11.854,37.472,0.579154,0.399300,0.021547
74,869.66,1.000,-12.001,31.0289,2.6177,58.0997,0.0000,26.5240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3258,6.6731,0.3773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-514.837,-436.818,68.270,11.853,37.472,0.579152,0.399302,0.021546
75,870.68,0.950,-11.987,31.7779,2.6166,58.2154,0.0000,26.4439,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2327,6.7208,0.3873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-527.374,-447.336,69.974,12.145,38.386,0.583148,0.394741,0.022110
76,870.68,0.950,-11.987,31.8122,2.6166,58.2154,0.0000,26.4439,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2327,6.7208,0.3873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-527.943,-447.819,70.049,12.158,38.427,0.583148,0.394741,0.022110
77,870.68,0.950,-11.987,31.8117,2.6166,58.2153,0.0000,26.4439,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2327,6.7207,0.3873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-527.936,-447.812,70.048,12.158,38.427,0.583146,0.394744,0.022110
78,871.73,0.900,-11.972,32.5744,2.6154,58.3307,0.0000,26.3638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.1398,6.7679,0.3978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-540.708,-458.521,71.786,12.455,39.358,0.587103,0.390194,0.022703
79,871.73,0.900,-11.972,32.6095,2.6154,58.3307,0.0000,26.3638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.1398,6.7679,0.3978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-541.291,-459.015,71.864,12.468,39.401,0.587103,0.390194,0.022703
80,871.74,0.900,-11.972,32.6091,2.6154,58.3306,0.0000,26.3639,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.1398,6.7679,0.3978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-541.284,-459.009,71.863,12.468,39.400,0.587101,0.390196,0.022703
81,872.81,0.850,-11.957,33.3857,2.6143,58.4456,0.0000,26.2840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0470,6.8146,0.4088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-554.293,-469.910,73.635,12.771,40.349,0.591013,0.385660,0.023327
82,872.81,0.850,-11.957,33.4216,2.6143,58.4456,0.0000,26.2840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0470,6.8146,0.4088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-554.889,-470.415,73.714,12.784,40.392,0.591013,0.385660,0.023327
83,872.82,0.850,-11.957,33.4212,2.6143,58.4456,0.0000,26.2840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0471,6.8146,0.4088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-554.884,-470.411,73.713,12.784,40.392,0.591011,0.385661,0.023327
84,873.92,0.800,-11.941,34.2117,2.6131,58.5600,0.0000,26.2043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9546,6.8607,0.4204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-568.131,-481.504,75.520,13.092,41.358,0.594872,0.381143,0.023985
85,873.92,0.800,-11.941,34.2484,2.6131,58.5600,0.0000,26.2043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9546,6.8607,0.4204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-568.740,-482.020,75.601,13.107,41.402,0.594872,0.381143,0.023985
86,873.92,0.800,-11.941,34.2481,2.6131,58.5600,0.0000,26.2043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9547,6.8606,0.4204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-568.736,-482.016,75.601,13.106,41.402,0.594871,0.381144,0.023985
